value,real
"tf.Tensor([68.32684], shape=(1,), dtype=float32)",64
"tf.Tensor([86.41396], shape=(1,), dtype=float32)",65
"tf.Tensor([106.15103], shape=(1,), dtype=float32)",100
"tf.Tensor([86.67443], shape=(1,), dtype=float32)",67
"tf.Tensor([101.20456], shape=(1,), dtype=float32)",99
"tf.Tensor([85.55406], shape=(1,), dtype=float32)",100
"tf.Tensor([68.85867], shape=(1,), dtype=float32)",67
"tf.Tensor([75.39778], shape=(1,), dtype=float32)",65
"tf.Tensor([91.70018], shape=(1,), dtype=float32)",99
"tf.Tensor([81.952324], shape=(1,), dtype=float32)",68
"tf.Tensor([96.62661], shape=(1,), dtype=float32)",96
"tf.Tensor([86.57827], shape=(1,), dtype=float32)",67
"tf.Tensor([97.27275], shape=(1,), dtype=float32)",99
"tf.Tensor([77.42505], shape=(1,), dtype=float32)",65
"tf.Tensor([94.21708], shape=(1,), dtype=float32)",98
"tf.Tensor([85.5269], shape=(1,), dtype=float32)",100
"tf.Tensor([70.54053], shape=(1,), dtype=float32)",68
"tf.Tensor([82.48839], shape=(1,), dtype=float32)",69
"tf.Tensor([104.723526], shape=(1,), dtype=float32)",101
"tf.Tensor([89.73717], shape=(1,), dtype=float32)",98
"tf.Tensor([69.93217], shape=(1,), dtype=float32)",70
"tf.Tensor([81.90529], shape=(1,), dtype=float32)",69
"tf.Tensor([101.27443], shape=(1,), dtype=float32)",105
"tf.Tensor([86.26395], shape=(1,), dtype=float32)",102
"tf.Tensor([70.7731], shape=(1,), dtype=float32)",71
"tf.Tensor([85.75378], shape=(1,), dtype=float32)",72
"tf.Tensor([103.051155], shape=(1,), dtype=float32)",105
"tf.Tensor([89.14011], shape=(1,), dtype=float32)",69
"tf.Tensor([107.8215], shape=(1,), dtype=float32)",102
"tf.Tensor([92.87397], shape=(1,), dtype=float32)",102
"tf.Tensor([65.40084], shape=(1,), dtype=float32)",74
"tf.Tensor([83.61594], shape=(1,), dtype=float32)",72
"tf.Tensor([104.18024], shape=(1,), dtype=float32)",104
"tf.Tensor([91.41125], shape=(1,), dtype=float32)",104
"tf.Tensor([74.81182], shape=(1,), dtype=float32)",73
