value
"tf.Tensor([52.173286], shape=(1,), dtype=float32)"
"tf.Tensor([80.34682], shape=(1,), dtype=float32)"
"tf.Tensor([70.27296], shape=(1,), dtype=float32)"
"tf.Tensor([48.39824], shape=(1,), dtype=float32)"
"tf.Tensor([79.13697], shape=(1,), dtype=float32)"
"tf.Tensor([42.674248], shape=(1,), dtype=float32)"
"tf.Tensor([84.041084], shape=(1,), dtype=float32)"
"tf.Tensor([50.981308], shape=(1,), dtype=float32)"
"tf.Tensor([84.188255], shape=(1,), dtype=float32)"
"tf.Tensor([83.02932], shape=(1,), dtype=float32)"
"tf.Tensor([72.40779], shape=(1,), dtype=float32)"
"tf.Tensor([51.67249], shape=(1,), dtype=float32)"
"tf.Tensor([57.168556], shape=(1,), dtype=float32)"
"tf.Tensor([47.656334], shape=(1,), dtype=float32)"
"tf.Tensor([49.628372], shape=(1,), dtype=float32)"
"tf.Tensor([80.58916], shape=(1,), dtype=float32)"
"tf.Tensor([78.00764], shape=(1,), dtype=float32)"
"tf.Tensor([49.48456], shape=(1,), dtype=float32)"
"tf.Tensor([88.07341], shape=(1,), dtype=float32)"
"tf.Tensor([49.330048], shape=(1,), dtype=float32)"
"tf.Tensor([51.269135], shape=(1,), dtype=float32)"
"tf.Tensor([78.6054], shape=(1,), dtype=float32)"
"tf.Tensor([78.438484], shape=(1,), dtype=float32)"
"tf.Tensor([47.96076], shape=(1,), dtype=float32)"
"tf.Tensor([86.7369], shape=(1,), dtype=float32)"
"tf.Tensor([50.166283], shape=(1,), dtype=float32)"
"tf.Tensor([51.14709], shape=(1,), dtype=float32)"
"tf.Tensor([89.259224], shape=(1,), dtype=float32)"
"tf.Tensor([80.86916], shape=(1,), dtype=float32)"
"tf.Tensor([52.845963], shape=(1,), dtype=float32)"
"tf.Tensor([83.477455], shape=(1,), dtype=float32)"
"tf.Tensor([56.379528], shape=(1,), dtype=float32)"
"tf.Tensor([74.39958], shape=(1,), dtype=float32)"
"tf.Tensor([37.63214], shape=(1,), dtype=float32)"
"tf.Tensor([55.70099], shape=(1,), dtype=float32)"
"tf.Tensor([76.48357], shape=(1,), dtype=float32)"
"tf.Tensor([59.72487], shape=(1,), dtype=float32)"
"tf.Tensor([88.548935], shape=(1,), dtype=float32)"
"tf.Tensor([75.14088], shape=(1,), dtype=float32)"
"tf.Tensor([57.146233], shape=(1,), dtype=float32)"
"tf.Tensor([60.957214], shape=(1,), dtype=float32)"
