value
"tf.Tensor([67.37967], shape=(1,), dtype=float32)"
"tf.Tensor([53.7366], shape=(1,), dtype=float32)"
"tf.Tensor([60.033424], shape=(1,), dtype=float32)"
"tf.Tensor([50.259914], shape=(1,), dtype=float32)"
"tf.Tensor([58.95483], shape=(1,), dtype=float32)"
"tf.Tensor([67.910286], shape=(1,), dtype=float32)"
"tf.Tensor([56.82359], shape=(1,), dtype=float32)"
"tf.Tensor([64.508896], shape=(1,), dtype=float32)"
"tf.Tensor([44.625515], shape=(1,), dtype=float32)"
"tf.Tensor([56.92036], shape=(1,), dtype=float32)"
"tf.Tensor([45.89919], shape=(1,), dtype=float32)"
"tf.Tensor([55.9436], shape=(1,), dtype=float32)"
"tf.Tensor([44.683636], shape=(1,), dtype=float32)"
"tf.Tensor([54.36515], shape=(1,), dtype=float32)"
"tf.Tensor([45.190815], shape=(1,), dtype=float32)"
"tf.Tensor([43.37927], shape=(1,), dtype=float32)"
"tf.Tensor([47.62644], shape=(1,), dtype=float32)"
"tf.Tensor([52.576504], shape=(1,), dtype=float32)"
"tf.Tensor([49.081844], shape=(1,), dtype=float32)"
"tf.Tensor([41.288395], shape=(1,), dtype=float32)"
"tf.Tensor([35.121754], shape=(1,), dtype=float32)"
"tf.Tensor([33.567028], shape=(1,), dtype=float32)"
"tf.Tensor([41.469166], shape=(1,), dtype=float32)"
"tf.Tensor([35.344242], shape=(1,), dtype=float32)"
"tf.Tensor([39.046745], shape=(1,), dtype=float32)"
