value
"tf.Tensor([57.058773], shape=(1,), dtype=float32)"
"tf.Tensor([75.85058], shape=(1,), dtype=float32)"
"tf.Tensor([53.942745], shape=(1,), dtype=float32)"
"tf.Tensor([64.24696], shape=(1,), dtype=float32)"
"tf.Tensor([80.667244], shape=(1,), dtype=float32)"
"tf.Tensor([61.21032], shape=(1,), dtype=float32)"
"tf.Tensor([47.060318], shape=(1,), dtype=float32)"
"tf.Tensor([58.882317], shape=(1,), dtype=float32)"
"tf.Tensor([71.3636], shape=(1,), dtype=float32)"
"tf.Tensor([54.976414], shape=(1,), dtype=float32)"
"tf.Tensor([45.433655], shape=(1,), dtype=float32)"
"tf.Tensor([52.85607], shape=(1,), dtype=float32)"
"tf.Tensor([48.033234], shape=(1,), dtype=float32)"
"tf.Tensor([69.001816], shape=(1,), dtype=float32)"
"tf.Tensor([53.21317], shape=(1,), dtype=float32)"
"tf.Tensor([68.715164], shape=(1,), dtype=float32)"
"tf.Tensor([72.49773], shape=(1,), dtype=float32)"
"tf.Tensor([55.518925], shape=(1,), dtype=float32)"
"tf.Tensor([46.021652], shape=(1,), dtype=float32)"
"tf.Tensor([62.70611], shape=(1,), dtype=float32)"
"tf.Tensor([51.084393], shape=(1,), dtype=float32)"
"tf.Tensor([73.556114], shape=(1,), dtype=float32)"
"tf.Tensor([54.832497], shape=(1,), dtype=float32)"
"tf.Tensor([74.762], shape=(1,), dtype=float32)"
"tf.Tensor([79.82926], shape=(1,), dtype=float32)"
"tf.Tensor([57.834892], shape=(1,), dtype=float32)"
"tf.Tensor([76.89474], shape=(1,), dtype=float32)"
"tf.Tensor([55.07712], shape=(1,), dtype=float32)"
"tf.Tensor([46.865925], shape=(1,), dtype=float32)"
"tf.Tensor([62.823982], shape=(1,), dtype=float32)"
"tf.Tensor([53.187443], shape=(1,), dtype=float32)"
"tf.Tensor([73.11098], shape=(1,), dtype=float32)"
"tf.Tensor([54.925953], shape=(1,), dtype=float32)"
"tf.Tensor([73.3901], shape=(1,), dtype=float32)"
"tf.Tensor([83.91749], shape=(1,), dtype=float32)"
"tf.Tensor([59.44821], shape=(1,), dtype=float32)"
"tf.Tensor([54.775753], shape=(1,), dtype=float32)"
"tf.Tensor([73.320305], shape=(1,), dtype=float32)"
"tf.Tensor([54.432644], shape=(1,), dtype=float32)"
"tf.Tensor([76.19325], shape=(1,), dtype=float32)"
"tf.Tensor([55.06309], shape=(1,), dtype=float32)"
"tf.Tensor([73.0988], shape=(1,), dtype=float32)"
"tf.Tensor([54.178852], shape=(1,), dtype=float32)"
"tf.Tensor([71.882576], shape=(1,), dtype=float32)"
"tf.Tensor([55.01257], shape=(1,), dtype=float32)"
"tf.Tensor([73.44371], shape=(1,), dtype=float32)"
"tf.Tensor([64.23704], shape=(1,), dtype=float32)"
"tf.Tensor([58.972054], shape=(1,), dtype=float32)"
"tf.Tensor([49.261795], shape=(1,), dtype=float32)"
"tf.Tensor([71.576866], shape=(1,), dtype=float32)"
"tf.Tensor([82.31675], shape=(1,), dtype=float32)"
"tf.Tensor([61.908344], shape=(1,), dtype=float32)"
"tf.Tensor([81.40818], shape=(1,), dtype=float32)"
"tf.Tensor([59.29719], shape=(1,), dtype=float32)"
"tf.Tensor([74.16195], shape=(1,), dtype=float32)"
"tf.Tensor([54.95374], shape=(1,), dtype=float32)"
"tf.Tensor([70.65725], shape=(1,), dtype=float32)"
"tf.Tensor([54.363316], shape=(1,), dtype=float32)"
