value,real
"tf.Tensor([76.35426], shape=(1,), dtype=float32)",100
"tf.Tensor([66.16253], shape=(1,), dtype=float32)",67
"tf.Tensor([58.70218], shape=(1,), dtype=float32)",65
"tf.Tensor([98.86199], shape=(1,), dtype=float32)",99
"tf.Tensor([77.09179], shape=(1,), dtype=float32)",68
"tf.Tensor([94.5797], shape=(1,), dtype=float32)",96
"tf.Tensor([78.57079], shape=(1,), dtype=float32)",67
"tf.Tensor([101.95626], shape=(1,), dtype=float32)",99
"tf.Tensor([84.83587], shape=(1,), dtype=float32)",65
"tf.Tensor([95.628746], shape=(1,), dtype=float32)",98
"tf.Tensor([97.34948], shape=(1,), dtype=float32)",100
"tf.Tensor([68.26492], shape=(1,), dtype=float32)",68
"tf.Tensor([62.436047], shape=(1,), dtype=float32)",69
"tf.Tensor([104.34502], shape=(1,), dtype=float32)",101
"tf.Tensor([90.34963], shape=(1,), dtype=float32)",98
"tf.Tensor([69.35006], shape=(1,), dtype=float32)",70
"tf.Tensor([65.28277], shape=(1,), dtype=float32)",69
"tf.Tensor([104.29064], shape=(1,), dtype=float32)",105
"tf.Tensor([88.13369], shape=(1,), dtype=float32)",102
"tf.Tensor([69.55416], shape=(1,), dtype=float32)",71
"tf.Tensor([67.67887], shape=(1,), dtype=float32)",72
"tf.Tensor([106.2674], shape=(1,), dtype=float32)",105
"tf.Tensor([83.99302], shape=(1,), dtype=float32)",69
"tf.Tensor([96.74103], shape=(1,), dtype=float32)",102
"tf.Tensor([104.047714], shape=(1,), dtype=float32)",102
"tf.Tensor([72.49627], shape=(1,), dtype=float32)",74
"tf.Tensor([69.62839], shape=(1,), dtype=float32)",72
"tf.Tensor([104.37559], shape=(1,), dtype=float32)",104
"tf.Tensor([95.875015], shape=(1,), dtype=float32)",104
"tf.Tensor([70.47193], shape=(1,), dtype=float32)",73
"tf.Tensor([69.58381], shape=(1,), dtype=float32)",74
"tf.Tensor([105.97231], shape=(1,), dtype=float32)",108
"tf.Tensor([79.292725], shape=(1,), dtype=float32)",74
